Id,Name
98,Golden Ticket
299,Enhancement Gem Fragment
300,Large Enhancement Gem Fragment
0x142,unk_322
0x143,unk_323
0x144,unk_324
0x145,unk_325
0x146,unk_326
0x147,unk_327
0x148,unk_328
0x149,unk_329
0x14A,unk_330
0x14B,unk_331
0x14C,unk_332
0x14D,unk_333
0x14E,unk_334
0x14F,unk_335
0x150,unk_336
0x151,unk_337
0x152,unk_338
0x153,unk_339
0x154,unk_340
0x155,unk_341
0x156,unk_342
0x157,unk_343
0x158,unk_344
0x159,unk_345
0x15A,unk_346
0x15B,unk_347
0x15C,unk_348
0x15D,unk_349
0x15E,unk_350
0x15F,Lottery Ticket
0x160,Luxury Lottery Ticket
0x161,unk_353
0x162,unk_354
0x163,unk_355
0x164,unk_356
0x165,unk_357
0x166,unk_358
0x167,unk_359
0x168,unk_360
0x169,unk_361
0x16A,unk_362
0x16B,unk_363
0x16C,unk_364
0x16D,unk_365
0x16E,unk_366
0x16F,unk_367
0x170,unk_368
0x171,unk_369
0x172,Magic Stone
0x173,unk_371
0x174,unk_372
0x175,unk_373
0x176,Corundum
0x177,Tissue
0x178,unk_376
0x179,unk_377
0x17A,unk_378
0x17B,unk_379
0x17C,unk_380
